Squeezing [dB],X,P,Bipartition ID,Bipartition 1,Bipartition 2
3.010299956639812,n_x_0,n_p_0,346,"[1, 2, 4, 5, 7, 9]","[3, 6, 8, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0-n_x_8,n_p_0-n_p_2-n_p_12,325,"[2, 3, 7, 9]","[1, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,348,"[1, 3, 4, 5, 7, 9]","[2, 6, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,349,"[2, 3, 4, 5, 7, 9]","[1, 6, 8, 10, 11, 12, 13, 14, 15, 16]"
2.041199826559248,n_x_0,n_p_0,350,"[1, 2, 3, 4, 5, 7, 9]","[6, 8, 10, 11, 12, 13, 14, 15, 16]"
4.559319556497244,n_x_0-n_x_6,n_p_0+n_p_3-n_p_7,327,"[4, 7, 9]","[1, 2, 3, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0+n_x_8,n_p_0-n_p_2+n_p_5,328,"[1, 4, 7, 9]","[2, 3, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,n_x_0-n_x_2,n_p_0+n_p_3+n_p_19,329,"[2, 4, 7, 9]","[1, 3, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0-n_x_6,n_p_0-n_p_1+n_p_3,331,"[3, 4, 7, 9]","[1, 2, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0,n_p_0-n_p_2+n_p_4+n_p_6,332,"[1, 3, 4, 7, 9]","[2, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16]"
4.559319556497244,n_x_0+n_x_2,n_p_5-n_p_8-n_p_20,335,"[5, 7, 9]","[1, 2, 3, 4, 6, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0-n_p_8,357,"[2, 3, 6, 7, 9]","[1, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,358,"[1, 2, 3, 6, 7, 9]","[4, 5, 8, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0,n_p_0-n_p_2+n_p_6-n_p_8,333,"[2, 3, 4, 7, 9]","[1, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0-n_x_2,n_p_0-n_p_6,354,"[1, 2, 6, 7, 9]","[3, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,n_x_0+n_x_1,n_p_0-n_p_8-n_p_20,337,"[2, 5, 7, 9]","[1, 3, 4, 6, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,362,"[1, 2, 4, 6, 7, 9]","[3, 5, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,n_x_0+n_x_1,n_p_0+n_p_4-n_p_20,336,"[1, 5, 7, 9]","[2, 3, 4, 6, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,364,"[1, 3, 4, 6, 7, 9]","[2, 5, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,365,"[2, 3, 4, 6, 7, 9]","[1, 5, 8, 10, 11, 12, 13, 14, 15, 16]"
2.041199826559248,n_x_0,n_p_0,366,"[1, 2, 3, 4, 6, 7, 9]","[5, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,n_x_0+n_x_2,n_p_0-n_p_8-n_p_20,339,"[3, 5, 7, 9]","[1, 2, 4, 6, 8, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0-n_x_6,n_p_0-n_p_1+n_p_3,347,"[3, 4, 5, 7, 9]","[1, 2, 6, 8, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0,n_p_0+n_p_4-n_p_19-n_p_20,340,"[1, 3, 5, 7, 9]","[2, 4, 6, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,370,"[1, 2, 5, 6, 7, 9]","[3, 4, 8, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0-n_x_19,n_p_0-n_p_2-n_p_20,345,"[2, 4, 5, 7, 9]","[1, 3, 6, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,372,"[1, 3, 5, 6, 7, 9]","[2, 4, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,373,"[2, 3, 5, 6, 7, 9]","[1, 4, 8, 10, 11, 12, 13, 14, 15, 16]"
2.041199826559248,n_x_0,n_p_0,374,"[1, 2, 3, 5, 6, 7, 9]","[4, 8, 10, 11, 12, 13, 14, 15, 16]"
4.559319556497244,n_x_0+n_x_2,n_p_0+n_p_5-n_p_20,343,"[4, 5, 7, 9]","[1, 2, 3, 6, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,376,"[1, 4, 5, 6, 7, 9]","[2, 3, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,377,"[2, 4, 5, 6, 7, 9]","[1, 3, 8, 10, 11, 12, 13, 14, 15, 16]"
2.041199826559248,n_x_0,n_p_0,378,"[1, 2, 4, 5, 6, 7, 9]","[3, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,379,"[3, 4, 5, 6, 7, 9]","[1, 2, 8, 10, 11, 12, 13, 14, 15, 16]"
2.041199826559248,n_x_0,n_p_0,380,"[1, 3, 4, 5, 6, 7, 9]","[2, 8, 10, 11, 12, 13, 14, 15, 16]"
2.041199826559248,n_x_0,n_p_0,381,"[2, 3, 4, 5, 6, 7, 9]","[1, 8, 10, 11, 12, 13, 14, 15, 16]"
1.2493873660829993,n_x_0,n_p_0,382,"[1, 2, 3, 4, 5, 6, 7, 9]","[8, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0+n_x_4,n_p_0-n_p_6,368,"[1, 5, 6, 7, 9]","[2, 3, 4, 8, 10, 11, 12, 13, 14, 15, 16]"
4.559319556497244,n_x_0+n_x_2,n_p_5-n_p_7-n_p_8,351,"[6, 7, 9]","[1, 2, 3, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0+n_x_6,n_p_0-n_p_8,369,"[2, 5, 6, 7, 9]","[1, 3, 4, 8, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0+n_x_8,n_p_0-n_p_2+n_p_5,344,"[1, 4, 5, 7, 9]","[2, 3, 6, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,n_x_0+n_x_1,n_p_0-n_p_7-n_p_8,353,"[2, 6, 7, 9]","[1, 3, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,n_x_0+n_x_1,n_p_0+n_p_4-n_p_7,352,"[1, 6, 7, 9]","[2, 3, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0-n_x_2,n_p_0-n_p_6,386,"[1, 2, 8, 9]","[3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0-n_p_2,390,"[1, 2, 3, 8, 9]","[4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0,n_p_0+n_p_4-n_p_7-n_p_19,356,"[1, 3, 6, 7, 9]","[2, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,n_x_0+n_x_2,n_p_0-n_p_7-n_p_8,355,"[3, 6, 7, 9]","[1, 2, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0+n_x_8,n_p_0-n_p_2+n_p_5,360,"[1, 4, 6, 7, 9]","[2, 3, 5, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0-n_p_2,394,"[1, 2, 4, 8, 9]","[3, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
4.559319556497244,n_x_0+n_x_2,n_p_0+n_p_5-n_p_7,359,"[4, 6, 7, 9]","[1, 2, 3, 5, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,n_x_0+n_x_2,n_p_0+n_p_5-n_p_6,367,"[5, 6, 7, 9]","[1, 2, 3, 4, 8, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0-n_x_19,n_p_0-n_p_2-n_p_7,361,"[2, 4, 6, 7, 9]","[1, 3, 5, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,398,"[1, 2, 3, 4, 8, 9]","[5, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0-n_x_6,n_p_0-n_p_1+n_p_3,363,"[3, 4, 6, 7, 9]","[1, 2, 5, 8, 10, 11, 12, 13, 14, 15, 16]"
