Squeezing [dB],X,P,Bipartition ID,Bipartition 1,Bipartition 2
3.010299957,n_x_0-n_x_2,n_p_0+n_p_3,16718,"[1, 2, 3, 4, 7, 9, 15]","[5, 6, 8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0-n_x_5-n_x_6,n_p_1+n_p_3,16719,"[5, 7, 9, 15]","[1, 2, 3, 4, 6, 8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0-n_x_5-n_x_6,n_p_1+n_p_3,16720,"[1, 5, 7, 9, 15]","[2, 3, 4, 6, 8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0-n_x_5-n_x_6,n_p_1+n_p_3,16721,"[2, 5, 7, 9, 15]","[1, 3, 4, 6, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_1,n_p_0-n_p_20,16722,"[1, 2, 5, 7, 9, 15]","[3, 4, 6, 8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0-n_x_6,n_p_3-n_p_8+n_p_0,16723,"[3, 5, 7, 9, 15]","[1, 2, 4, 6, 8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0+n_x_1+n_x_4,n_p_0-n_p_20,16724,"[1, 3, 5, 7, 9, 15]","[2, 4, 6, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0-n_x_1,n_p_8-n_p_7,16725,"[2, 3, 5, 7, 9, 15]","[1, 4, 6, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_1,n_p_0-n_p_20,16726,"[1, 2, 3, 5, 7, 9, 15]","[4, 6, 8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0+n_x_1+n_x_4,n_p_0-n_p_20,16728,"[1, 4, 5, 7, 9, 15]","[2, 3, 6, 8, 10, 11, 12, 13, 14, 16]"
3.979400086720376,n_x_7-n_x_0,n_p_1+n_p_6-n_p_9,16711,"[4, 7, 9, 15]","[1, 2, 3, 5, 6, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_1,n_p_0-n_p_20,16730,"[1, 2, 4, 5, 7, 9, 15]","[3, 6, 8, 10, 11, 12, 13, 14, 16]"
3.802112417,n_x_0+n_x_1-n_x_19,n_p_0-n_p_20-n_p_2,16729,"[2, 4, 5, 7, 9, 15]","[1, 3, 6, 8, 10, 11, 12, 13, 14, 16]"
4.259687322722812,n_x_1+n_x_22+n_x_0-n_x_7-n_x_2,n_p_5-n_p_6+n_p_0,11735,"[4, 5, 7, 8, 9, 11, 12, 14]","[1, 2, 3, 6, 10, 13, 15, 16]"
3.590219426,n_x_0+n_x_3,n_p_0+n_p_6,16731,"[3, 4, 5, 7, 9, 15]","[1, 2, 6, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_3,n_p_0+n_p_4,16732,"[1, 3, 4, 5, 7, 9, 15]","[2, 6, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_3,n_p_0+n_p_6,16733,"[2, 3, 4, 5, 7, 9, 15]","[1, 6, 8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0-n_x_5-n_x_6,n_p_1+n_p_3,16736,"[1, 6, 7, 9, 15]","[2, 3, 4, 5, 8, 10, 11, 12, 13, 14, 16]"
3.010299957,n_x_0,n_p_0,16734,"[1, 2, 3, 4, 5, 7, 9, 15]","[6, 8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0-n_x_5-n_x_6,n_p_1+n_p_3,16735,"[6, 7, 9, 15]","[1, 2, 3, 4, 5, 8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0-n_x_5-n_x_6,n_p_1+n_p_3,16737,"[2, 6, 7, 9, 15]","[1, 3, 4, 5, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_1,n_p_0-n_p_7,16738,"[1, 2, 6, 7, 9, 15]","[3, 4, 5, 8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0-n_x_6,n_p_3-n_p_8+n_p_0,16739,"[3, 6, 7, 9, 15]","[1, 2, 4, 5, 8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0+n_x_1+n_x_4,n_p_0-n_p_7,16740,"[1, 3, 6, 7, 9, 15]","[2, 4, 5, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_3,n_p_8-n_p_0,16741,"[2, 3, 6, 7, 9, 15]","[1, 4, 5, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_1,n_p_0-n_p_7,16742,"[1, 2, 3, 6, 7, 9, 15]","[4, 5, 8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0-n_x_5-n_x_6+n_x_10,n_p_3+n_p_1+n_p_0+n_p_8-n_p_24+n_p_25,16743,"[4, 6, 7, 9, 15]","[1, 2, 3, 5, 8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0+n_x_1+n_x_4,n_p_0-n_p_7,16744,"[1, 4, 6, 7, 9, 15]","[2, 3, 5, 8, 10, 11, 12, 13, 14, 16]"
3.802112417,n_x_0+n_x_1+n_x_5,n_p_0-n_p_7-n_p_8,16745,"[2, 4, 6, 7, 9, 15]","[1, 3, 5, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_3,n_p_0+n_p_6,16747,"[3, 4, 6, 7, 9, 15]","[1, 2, 5, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_1,n_p_0-n_p_7,16746,"[1, 2, 4, 6, 7, 9, 15]","[3, 5, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_3,n_p_0+n_p_4,16748,"[1, 3, 4, 6, 7, 9, 15]","[2, 5, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_3,n_p_0+n_p_6,16749,"[2, 3, 4, 6, 7, 9, 15]","[1, 5, 8, 10, 11, 12, 13, 14, 16]"
3.010299957,n_x_0,n_p_0,16750,"[1, 2, 3, 4, 6, 7, 9, 15]","[5, 8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0-n_x_5-n_x_6,n_p_1+n_p_3,16751,"[5, 6, 7, 9, 15]","[1, 2, 3, 4, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_4,n_p_0-n_p_6,16752,"[1, 5, 6, 7, 9, 15]","[2, 3, 4, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_6,n_p_0-n_p_8,16753,"[2, 5, 6, 7, 9, 15]","[1, 3, 4, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_1,n_p_0-n_p_6,16754,"[1, 2, 5, 6, 7, 9, 15]","[3, 4, 8, 10, 11, 12, 13, 14, 16]"
3.802112417,n_x_0+n_x_2+n_x_3,n_p_0-n_p_8+n_p_5,16755,"[3, 5, 6, 7, 9, 15]","[1, 2, 4, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_3,n_p_0+n_p_4,16756,"[1, 3, 5, 6, 7, 9, 15]","[2, 4, 8, 10, 11, 12, 13, 14, 16]"
3.010299957,n_x_0+n_x_3,n_p_0-n_p_8,16757,"[2, 3, 5, 6, 7, 9, 15]","[1, 4, 8, 10, 11, 12, 13, 14, 16]"
3.010299957,n_x_0,n_p_0,16758,"[1, 2, 3, 5, 6, 7, 9, 15]","[4, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_3,n_p_0+n_p_4,16760,"[1, 4, 5, 6, 7, 9, 15]","[2, 3, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_3,n_p_0+n_p_6,16763,"[3, 4, 5, 6, 7, 9, 15]","[1, 2, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_3,n_p_0+n_p_19,16761,"[2, 4, 5, 6, 7, 9, 15]","[1, 3, 8, 10, 11, 12, 13, 14, 16]"
3.010299957,n_x_0,n_p_0,16762,"[1, 2, 4, 5, 6, 7, 9, 15]","[3, 8, 10, 11, 12, 13, 14, 16]"
3.010299957,n_x_0,n_p_0,16764,"[1, 3, 4, 5, 6, 7, 9, 15]","[2, 8, 10, 11, 12, 13, 14, 16]"
3.010299957,n_x_0,n_p_0,16765,"[2, 3, 4, 5, 6, 7, 9, 15]","[1, 8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0-n_x_5-n_x_6,n_p_1+n_p_7,16767,"[8, 9, 15]","[1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 16]"
2.041199827,n_x_0,n_p_0,16766,"[1, 2, 3, 4, 5, 6, 7, 9, 15]","[8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0-n_x_5-n_x_6,n_p_1+n_p_7,16768,"[1, 8, 9, 15]","[2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0-n_x_5-n_x_6,n_p_1+n_p_7,16769,"[2, 8, 9, 15]","[1, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 16]"
3.979400086720376,n_x_7-n_x_0,n_p_6+n_p_1-n_p_9,16727,"[4, 5, 7, 9, 15]","[1, 2, 3, 6, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_6,n_p_2-n_p_0,16770,"[1, 2, 8, 9, 15]","[3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0+n_x_5+n_x_6,n_p_2-n_p_4,16772,"[1, 3, 8, 9, 15]","[2, 4, 5, 6, 7, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_5,n_p_2+n_p_8,16774,"[1, 2, 3, 8, 9, 15]","[4, 5, 6, 7, 10, 11, 12, 13, 14, 16]"
