Squeezing [dB],Operators,Bipartition ID,Bipartition 1,Bipartition 2
3.979400086720376,"('n_x_0+n_x_6', 'n_p_0+n_p_7+n_p_8')",532,"[1, 3, 5, 10]","[2, 4, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.979400086720376,"('n_x_0+n_x_6', 'n_p_0-n_p_4+n_p_7')",533,"[2, 3, 5, 10]","[1, 4, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.979400086720376,"('n_x_0-n_x_1', 'n_p_0-n_p_4+n_p_19')",537,"[2, 4, 5, 10]","[1, 3, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_6')",546,"[1, 2, 6, 10]","[3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
4.259687322722812,"('n_x_0+n_x_2', 'n_p_5-n_p_8+n_p_17-n_p_20')",335,"[5, 7, 9]","[1, 2, 3, 4, 6, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,"('n_x_0+n_x_6', 'n_p_0-n_p_7+n_p_8')",544,"[1, 6, 10]","[2, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
4.259687322722812,"('n_x_0+n_x_2', 'n_p_0+n_p_5-n_p_7+n_p_17')",359,"[4, 6, 7, 9]","[1, 2, 3, 5, 8, 10, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_2')",550,"[1, 2, 3, 6, 10]","[4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
4.259687322722812,"('n_x_0+n_x_2', 'n_p_5-n_p_7-n_p_8+n_p_17')",351,"[6, 7, 9]","[1, 2, 3, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0+n_p_8')",552,"[1, 4, 6, 10]","[2, 3, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
4.259687322722812,"('n_x_2+n_x_5-n_x_10', 'n_p_0+n_p_8-n_p_17')",383,"[8, 9]","[1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_2')",554,"[1, 2, 4, 6, 10]","[3, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.59021942641668,"('n_x_0-n_x_1', 'n_p_0+n_p_6')",555,"[3, 4, 6, 10]","[1, 2, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_1')",556,"[1, 3, 4, 6, 10]","[2, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_1')",557,"[2, 3, 4, 6, 10]","[1, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0')",558,"[1, 2, 3, 4, 6, 10]","[5, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.979400086720376,"('n_x_0+n_x_6', 'n_p_0-n_p_4-n_p_7')",545,"[2, 6, 10]","[1, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_6')",560,"[1, 5, 6, 10]","[2, 3, 4, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_6')",561,"[2, 5, 6, 10]","[1, 3, 4, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_6')",562,"[1, 2, 5, 6, 10]","[3, 4, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
4.259687322722812,"('n_x_0+n_x_2', 'n_p_0+n_p_5+n_p_17-n_p_20')",343,"[4, 5, 7, 9]","[1, 2, 3, 6, 8, 10, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_6')",564,"[1, 3, 5, 6, 10]","[2, 4, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_4')",565,"[2, 3, 5, 6, 10]","[1, 4, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0')",566,"[1, 2, 3, 5, 6, 10]","[4, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
4.259687322722812,"('n_x_0+n_x_2', 'n_p_5+n_p_7-n_p_8+n_p_17')",399,"[5, 8, 9]","[1, 2, 3, 4, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_6')",568,"[1, 4, 5, 6, 10]","[2, 3, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_4')",569,"[2, 4, 5, 6, 10]","[1, 3, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0')",570,"[1, 2, 4, 5, 6, 10]","[3, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_1')",571,"[3, 4, 5, 6, 10]","[1, 2, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0')",572,"[1, 3, 4, 5, 6, 10]","[2, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0')",573,"[2, 3, 4, 5, 6, 10]","[1, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
2.041199826559248,"('n_x_0', 'n_p_0')",574,"[1, 2, 3, 4, 5, 6, 10]","[7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.979400086720376,"('n_x_0+n_x_6', 'n_p_0-n_p_7+n_p_8')",548,"[1, 3, 6, 10]","[2, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.979400086720376,"('n_x_0+n_x_6', 'n_p_0-n_p_4-n_p_7')",549,"[2, 3, 6, 10]","[1, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.979400086720376,"('n_x_0-n_x_1', 'n_p_0-n_p_4+n_p_19')",553,"[2, 4, 6, 10]","[1, 3, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_2')",578,"[1, 2, 7, 10]","[3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.979400086720376,"('n_x_0+n_x_2', 'n_p_0+n_p_5-n_p_6')",559,"[5, 6, 10]","[1, 2, 3, 4, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.979400086720376,"('n_x_0+n_x_2', 'n_p_0+n_p_5-n_p_6')",563,"[3, 5, 6, 10]","[1, 2, 4, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.59021942641668,"('n_x_0-n_x_2', 'n_p_0-n_p_19')",580,"[1, 3, 7, 10]","[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0-n_p_2')",582,"[1, 2, 3, 7, 10]","[4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.59021942641668,"('n_x_0-n_x_2', 'n_p_0-n_p_8')",581,"[2, 3, 7, 10]","[1, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0+n_p_8')",584,"[1, 4, 7, 10]","[2, 3, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.979400086720376,"('n_x_0-n_x_1', 'n_p_0+n_p_8+n_p_12')",567,"[4, 5, 6, 10]","[1, 2, 3, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0-n_p_2')",586,"[1, 2, 4, 7, 10]","[3, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0+n_p_6')",587,"[3, 4, 7, 10]","[1, 2, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_2')",588,"[1, 3, 4, 7, 10]","[2, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_2')",589,"[2, 3, 4, 7, 10]","[1, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0')",590,"[1, 2, 3, 4, 7, 10]","[5, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.59021942641668,"('n_x_0-n_x_2', 'n_p_0+n_p_19')",585,"[2, 4, 7, 10]","[1, 3, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.979400086720376,"('n_x_0+n_x_4', 'n_p_2+n_p_10+n_p_12')",576,"[1, 7, 10]","[2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
4.259687322722812,"('n_x_0-n_x_6', 'n_p_0-n_p_3+n_p_7+n_p_25')",391,"[4, 8, 9]","[1, 2, 3, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_2')",594,"[1, 2, 5, 7, 10]","[3, 4, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.979400086720376,"('n_x_0-n_x_8', 'n_p_2-n_p_5+n_p_10')",577,"[2, 7, 10]","[1, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_19')",596,"[1, 3, 5, 7, 10]","[2, 4, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_4')",597,"[2, 3, 5, 7, 10]","[1, 4, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0')",598,"[1, 2, 3, 5, 7, 10]","[4, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
4.259687322722812,"('n_x_0+n_x_2', 'n_p_0+n_p_5+n_p_7+n_p_17')",407,"[4, 5, 8, 9]","[1, 2, 3, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0+n_p_8')",600,"[1, 4, 5, 7, 10]","[2, 3, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_4')",601,"[2, 4, 5, 7, 10]","[1, 3, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0')",602,"[1, 2, 4, 5, 7, 10]","[3, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0+n_p_6')",603,"[3, 4, 5, 7, 10]","[1, 2, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0')",604,"[1, 3, 4, 5, 7, 10]","[2, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0')",605,"[2, 3, 4, 5, 7, 10]","[1, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
2.041199826559248,"('n_x_0', 'n_p_0')",606,"[1, 2, 3, 4, 5, 7, 10]","[6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.979400086720376,"('n_x_0-n_x_6', 'n_p_0+n_p_3+n_p_8')",583,"[4, 7, 10]","[1, 2, 3, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.979400086720376,"('n_x_0+n_x_1', 'n_p_0+n_p_8-n_p_20')",592,"[1, 5, 7, 10]","[2, 3, 4, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
4.259687322722812,"('n_x_0+n_x_2', 'n_p_5-n_p_8+n_p_17+n_p_20')",415,"[6, 8, 9]","[1, 2, 3, 4, 5, 7, 10, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_2')",610,"[1, 2, 6, 7, 10]","[3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 16]"
3.979400086720376,"('n_x_0+n_x_1', 'n_p_0-n_p_4-n_p_20')",593,"[2, 5, 7, 10]","[1, 3, 4, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_7')",612,"[1, 3, 6, 7, 10]","[2, 4, 5, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_4')",613,"[2, 3, 6, 7, 10]","[1, 4, 5, 8, 9, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0')",614,"[1, 2, 3, 6, 7, 10]","[4, 5, 8, 9, 11, 12, 13, 14, 15, 16]"
3.979400086720376,"('n_x_0+n_x_2', 'n_p_0+n_p_8-n_p_20')",599,"[4, 5, 7, 10]","[1, 2, 3, 6, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_7')",616,"[1, 4, 6, 7, 10]","[2, 3, 5, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_4')",617,"[2, 4, 6, 7, 10]","[1, 3, 5, 8, 9, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0')",618,"[1, 2, 4, 6, 7, 10]","[3, 5, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0+n_p_6')",619,"[3, 4, 6, 7, 10]","[1, 2, 5, 8, 9, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0')",620,"[1, 3, 4, 6, 7, 10]","[2, 5, 8, 9, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0')",621,"[2, 3, 4, 6, 7, 10]","[1, 5, 8, 9, 11, 12, 13, 14, 15, 16]"
