Squeezing [dB],X,P,Bipartition ID,Bipartition 1,Bipartition 2
2.041199827,n_x_0,n_p_0,232,"[1, 4, 6, 7, 8]","[2, 3, 5, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,233,"[2, 4, 6, 7, 8]","[1, 3, 5, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,234,"[1, 2, 4, 6, 7, 8]","[3, 5, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,235,"[3, 4, 6, 7, 8]","[1, 2, 5, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,236,"[1, 3, 4, 6, 7, 8]","[2, 5, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,237,"[2, 3, 4, 6, 7, 8]","[1, 5, 9, 10, 11, 12, 13, 14, 15, 16]"
0.57991947,n_x_0,n_p_0,238,"[1, 2, 3, 4, 6, 7, 8]","[5, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,239,"[5, 6, 7, 8]","[1, 2, 3, 4, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,240,"[1, 5, 6, 7, 8]","[2, 3, 4, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,241,"[2, 5, 6, 7, 8]","[1, 3, 4, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,242,"[1, 2, 5, 6, 7, 8]","[3, 4, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199827,n_x_0,n_p_0,243,"[3, 5, 6, 7, 8]","[1, 2, 4, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,244,"[1, 3, 5, 6, 7, 8]","[2, 4, 9, 10, 11, 12, 13, 14, 15, 16]"
1.249387366,n_x_0,n_p_0,245,"[2, 3, 5, 6, 7, 8]","[1, 4, 9, 10, 11, 12, 13, 14, 15, 16]"
0.57991947,n_x_0,n_p_0,246,"[1, 2, 3, 5, 6, 7, 8]","[4, 9, 10, 11, 12, 13, 14, 15, 16]"
